Yangyang,Yangyang International Airport,YNY
Chittagong,Shah Amanat International Airport,CGP
Dhaka,Hazrat Shahjalal International Airport,DAC
Sylhet,Osmani International Airport,ZYL
Paro,Paro Airport,PBH
Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD
Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ
Bangalore,Kempegowda International Airport,BLR
Bhopal,Raja Bhoj International Airport,BHO
Bhubaneswar,Biju Patnaik International Airport,BBI
Chandigarh,Chandigarh International Airport,IXC
Chennai,Chennai International Airport,MAA
Cochin,Cochin International Airport,COK
Coimbatore,Coimbatore International Airport,CJB
Delhi,Indira Gandhi International Airport,DEL
Goa,Goa International Airport,GOI
Gaya,Gaya International Airport,GAY
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU
Hyderabad,Rajiv Gandhi International Airport,HYD
Imphal,Imphal International Airport,IMF
Indore,Devi Ahilya Bai Holkar International Airport,IDR
Jaipur,Jaipur International Airport,JAI
Kannur,Kannur International Airport,CNN
Kolkata,Netaji Subhash Chandra Bose International Airport,CCU
Kozhikode,Calicut International Airport,CCJ
Lucknow,Chaudhary Charan Singh International Airport,LKO
Madurai,Madurai International Airport,IXM
Mangalore,Mangalore International Airport,IXE
Mumbai,Chhatrapati Shivaji International Airport,BOM
Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG
Kanpur,Captain Lakshmi Sehgal International Airport,KPR
Port Blair,Veer Savarkar International Airport,IXZ
Patna,Jay Prakash Narayan International Airport,PAT
Pune,Pune International Airport,PNQ
Raipur,Swami Vivekananda Airport,RPR
Ranchi,Birsa Munda International Airport,IXR
Siliguri,Bagdogra International Airport,IXB
Srinagar,Srinagar Airport,SXR
Surat,Surat International Airport,STV
Trichy,Tiruchirappalli International Airport,TRZ
Tirupati,Tirupati Airport,TIR
Trivandrum,Trivandrum International Airport,TRV
Vadodara,Vadodara International Airport,BDQ
Varanasi,Lal Bahadur Shastri International Airport,VNS
Vijayawada,Vijayawada International Airport,VGA
Visakhapatnam,Visakhapatnam Airport,VTZ
Hulhule Island,Velana International Airport,MLE
Addu City,Gan International Airport,GAN
Kathmandu,Tribhuvan International Airport,KTM
Siddharthanagar,Gautam Buddha Airport,BWA
Bahawalpur,Bahawalpur Airport,BHV
Bannu,Bannu Airport,BNP
Chitral,Chitral Airport,CJL
Dera Ghazi Khan,Dera Ghazi Khan International Airport,DEA
Dera Ismail Khan,Dera Ismail Khan Airport,DSK
Faisalabad,Faisalabad International Airport,LYP
Gilgit,Gilgit Airport,GIL
Gwadar,Gwadar International Airport,GWD
Islamabad,Islamabad International Airport,ISB
Karachi,Jinnah International Airport,KHI
Lahore,Allama Iqbal International Airport,LHE
Multan,Multan International Airport,MUX
Peshawar,Bacha Khan International Airport,PEW
Quetta,Quetta International Airport,UET
Rahim Yar Khan,Shaikh Zayed International Airport,RYK
Saidu Sharif,Saidu Sharif Airport,SDT
Sialkot,Sialkot International Airport,SKT
Skardu,Skardu Airport,KDU
Turbat,Turbat International Airport,TUK
Colombo,Bandaranaike International Airport,CMB
Hambantota,Mattala Rajapaksa International Airport,HRI
Colombo,Ratmalana International Airport,RML
Jaffna,Jaffna International Airport,JAF
Bandar Seri Begawan,Brunei International Airport,BWN
Phnom Penh,Phnom Penh International Airport,PNH
Siem Reap,Siem Reap International Airport,REP
Sihanoukville,Sihanouk International Airport,KOS
Dili,Presidente Nicolau Lobato International Airport,DIL
Makassar,Hasanuddin International Airport,UPG
Manado,Sam Ratulangi International Airport,MDC
Mataram,Lombok International Airport,LOP
Medan,Kuala Namu International Airport,KNO
Padang,Minangkabau International Airport,PDG
Palembang,Sultan Mahmud Badaruddin II Airport,PLM
Pekanbaru,Sultan Syarif Qasim II International Airport,PKU
Samarinda,Samarinda International Airport,SRI
Semarang,Achmad Yani International Airport,SRG
Surabaya,Juanda International Airport,SUB
Solo,Adisumarmo International Airport,SOC
Yogyakarta,Adisucipto International Airport,JOG
Jakarta,Soekarno Hatta International Airport,CGK
Jakarta,Halim Perdanakusuma International Airport,HLP
Denpasar,Ngurah Rai International Airport,DPS
Bandung,Husein Sastranegara International Airport,BDO
Balikpapan,Sultan Aji Muhammad Sulaiman Airport,BPN
Ambon,Pattimura Airport,AMQ
Palangkaraya,Tjilik Riwut Airport,PKY
Jayapura,Sentani Airport,DJJ
Banjarmasin,Syamsudin Noor Airport,BDJ
Kupang,El Tari Airport,KOE
Palu,Mutiara Airport,PLW
Kendari,Haluoleo Airport,KDI
Luang Prabang,Luang Prabang International Airport,LPQ
Pakse,Pakse International Airport,PKZ
Vientiane,Wattay International Airport,VTE
Ipoh,Sultan Azlan Shah Airport,IPH
Johor Bahru,Senai International Airport,JHB
Kota Bharu,Sultan Ismail Petra Airport,KBR
Kota Kinabalu,Kota Kinabalu International Airport,BKI
Kuala Lumpur/Sepang,Kuala Lumpur International Airport,KUL
Kuching,Kuching International Airport,KCH
Langkawi,Langkawi International Airport,LGK
Penang,Penang International Airport,PEN
Subang,Sultan Abdul Aziz Shah Airport,SZB
Mandalay,Mandalay International Airport,MDL
Yangon,Yangon International Airport,RGN
Naypyidaw,Naypyidaw International Airport,NYT
Cagayan Special Economic Zone,Cagayan North International Airport,LLC
Lapu-Lapu,Mactan–Cebu International Airport,CEB
Angeles,Clark International Airport,CRK
Davao City,Francisco Bangoy International Airport,DVO
General Santos,General Santos International Airport,GES
Iloilo City,Iloilo International Airport,ILO
Kalibo,Kalibo International Airport,KLO
Laoag,Laoag International Airport,LAO
Manila,Ninoy Aquino International Airport,MNL
Panglao Island,Bohol–Panglao International Airport,TAG
Puerto Princesa,Puerto Princesa International Airport,PPS
Olongapo,Subic Bay International Airport,SFS
Zamboanga City,Zamboanga International Airport,ZAM
Singapore,Singapore Changi Airport,SIN
Bangkok/Samut Prakan,Suvarnabhumi Airport,BKK
Bangkok,Don Mueang International Airport,DMK
Chiang Mai,Chiang Mai International Airport,CNX
Chiang Rai,Mae Fah Luang International Airport,CEI
Rayong/Pattaya,U-Tapao International Airport,UTP
Hat Yai,Hat Yai International Airport,HDY
Krabi,Krabi International Airport,KBV
Phuket,Phuket International Airport,HKT
Surat Thani,Surat Thani Airport,URT
Ko Samui,Samui Airport,USM
Udon Thani,Udon Thani International Airport,UTH
Da Nang,Da Nang International Airport,DAD
Hanoi,Noi Bai International Airport,HAN
Ho Chi Minh City,Tan Son Nhat International Airport,SGN
Can Tho,Can Tho International Airport,VCA
Haiphong,Cat Bi International Airport,HPH
Huế,Phu Bai International Airport,HUI
Phu Quoc,Phu Quoc International Airport,PQC
Nha Trang,Cam Ranh International Airport,CXR
Quảng Nam,Chu Lai International Airport,VCL
Kabul,Hamid Karzai International Airport,KBL
Herat,Herat International Airport,HEA
Kandahar,Kandahar International Airport,KDH
Mazar-i-Sharif,Mazar-e Sharif International Airport,MZR
Manama,Bahrain International Airport,BAH
Bandar Abbas,Bandar Abbas International Airport,BND
Birjand,Birjand International Airport,XBJ
Isfahan,Isfahan International Airport,IFN
Kish Island,Kish Airport,KIH
Mashhad,Mashhad International Airport,MHD
Qeshm,Dayrestan Airport,GSM
Shiraz,Shiraz International Airport,SYZ
Tabriz,Tabriz International Airport,TBZ
Tehran,Mehrabad International Airport,THR
Tehran,Tehran Imam Khomeini International Airport,IKA
Al Najaf,Al Najaf International Airport,NJF
Baghdad,Baghdad International Airport,BGW
Basra,Basra International Airport,BSR
Erbil,Erbil International Airport,EBL
Mosul,Mosul International Airport,OSM
Sulaymaniyah,Sulaimaniyah International Airport,ISU
Eilat,Ramon Airport,ETM
Haifa,Haifa Airport,HFA
Tel Aviv,Ben Gurion Airport,TLV
Aqaba,King Hussein International Airport,AQJ
Amman,Queen Alia International Airport,AMM
Amman,Amman Civil Airport,ADJ
Kuwait City,Kuwait International Airport,KWI
Beirut,Beirut Rafic Hariri International Airport,BEY
Muscat,Muscat International Airport,MCT
Salalah,Salalah International Airport,SLL
Doha,Hamad International Airport,DOH
Dammam,King Fahd International Airport,DMM
Jeddah,King Abdulaziz International Airport,JED
Medina,Prince Mohammad Bin Abdulaziz International Airport,MED
Riyadh,King Khalid International Airport,RUH
Aleppo,Aleppo International Airport,ALP
Damascus,Damascus International Airport,DAM
Latakia,Bassel Al-Assad International Airport,LTK
Abu Dhabi,Abu Dhabi International Airport,AUH
Al Ain,Al Ain International Airport,AAN
Dubai,Al-Maktoum International Airport,DWC
Dubai,Dubai International Airport,DXB
Ras Al Khaimah,Ras Al Khaimah International Airport,RKT
Sharjah,Sharjah International Airport,SHJ
Aden,Aden International Airport,ADE
Sana'a,Sana'a International Airport,SAH
Seiyun,Seiyun Airport,GXF
Antwerp,Antwerp International Airport,ANR
Brussels,Brussels Airport,BRU
Brussels/Charleroi,Brussels South Charleroi Airport,CRL
Liège,Liège Airport,LGG
Ostend/Bruges,Ostend-Bruges International Airport,OST
Ajaccio,Campo dell'Oro Airport,AJA
Bastia,Poretta Airport,BIA
Beauvais,Beauvais-Tillé Airport,BVA
Bergerac,Bergerac-Roumanière Airport,EGC
Béziers,Béziers Cap d'Agde Airport,BZR
Biarritz,Biarritz Airport,BIQ
Bordeaux,Mérignac Airport,BOD
Brest,Brest Bretagne Airport,BES
Carcassonne,Salvaza Airport,CCF
Châlons-en-Champagne,Châlons Vatry Airport,XCR
Chambéry,Chambéry-Savoie Airport,CMF
Dinard,Pleurtuit Airport,DNR
Figari,Figari Sud-Corse Airport,FSC
Grenoble,Grenoble-Isère Airport,GNB
Ile de Re,Île de Ré Airport,LRH
Lille,Lille Lesquin Airport,LIL
Limoges,Bellegarde Airport,LIG
Lyon,Saint-Exupéry Airport,LYS
Marseille,Provence Airport,MRS
Mulhouse,Basel-Mulhouse-Freiburg Airport,BSL
Nantes,Nantes Atlantique Airport,NTE
Nice,Côte d'Azur Airport,NCE
Nîmes,Garons Airport,FNI
Paris,Charles de Gaulle Airport,CDG
Paris,Orly Airport,ORY
Pau,Uzein Airport,PUF
Perpignan,Llabanère Airport,PGF
Poitiers,Biard Airport,PIS
Rodez,Marcillac Airport,RDZ
Saint Etienne,Bouthéon Airport,EBU
Strasbourg,Strasbourg Airport,SXB
Toulon,Hyères Le Palyvestre Airport,TLN
Toulouse,Blagnac Airport,TLS
Tours,Tours Loire Valley Airport,TUF
Gibraltar,North Front Airport,GIB
Alderney,Alderney Airport,ACI
Guernsey,Guernsey Airport,GCI
Jersey,Jersey Airport,JER
Cork,Cork Airport,ORK
Dublin,Dublin Airport,DUB
Kerry,Kerry Airport,KIR
Knock,Ireland West Airport Knock,NOC
Shannon,Shannon Airport,SNN
Isle of Man,Isle of Man Airport,IOM
Luxembourg City,Findel Airport,LUX
Amsterdam,Amsterdam Airport Schiphol,AMS
Eindhoven,Eindhoven Airport,EIN
Groningen,Groningen Airport Eelde,GRQ
Maastricht,Maastricht-Aachen Airport,MST
Rotterdam,Rotterdam The Hague Airport,RTM
Beja,Beja Airport,BYJ
Faro,Faro Airport,FAO
Funchal,Madeira Airport,FNC
Porto Santo Island,Porto Santo Airport,PXO
Lisbon,Humberto Delgado Airport,LIS
Porto,Francisco Sá Carneiro Airport,OPO
Ponta Delgada,João Paulo II Airport,PDL
Terceira Island,Terceira Airport,TER
A Coruña,Alvedro Airport,LCG
Alicante,Alicante Airport,ALC
Almeria,Almería International Airport,LEI
Asturias,Asturias Airport,OVD
Barcelona,Barcelona Airport,BCN
Bilbao,Bilbao Airport,BIO
Castellón de la Plana,Castellón–Costa Azahar Airport,CDT
Fuerteventura,Fuerteventura Airport,FUE
Girona,Girona-Costa Brava Airport,GRO
Gran Canaria,Gran Canaria Airport,LPA
Granada,Federico García Lorca Granada Airport,GRX
Huesca,Huesca-Pirineos Airport,HSK
Ibiza,Ibiza Airport,IBZ
Jerez de la Frontera,Jerez Airport,XRY
La Palma,La Palma Airport,SPC
Lanzarote,Lanzarote Airport,ACE
Lleida,Alguaire Airport,ILD
Madrid,Madrid-Barajas Airport,MAD
Málaga,Málaga Airport,AGP
Menorca,Menorca Airport,MAH
Murcia,Región de Murcia International Airport,RMU
Palma de Mallorca,Palma de Mallorca Airport,PMI
Pamplona,Pamplona Airport,PNA
Reus,Reus Airport,REU
Santander,Santander Airport,SDR
Santiago de Compostela,Santiago de Compostela Airport,SCQ
Seville,Seville Airport,SVQ
Tenerife,Tenerife North Airport,TFN
Tenerife,Tenerife South Airport,TFS
Valencia,Valencia Airport,VLC
Valladolid,Valladolid Airport,VLL
Vigo,Vigo–Peinador Airport,VGO
Vitoria-Gasteiz,Vitoria Airport,VIT
Zaragoza,Zaragoza Airport,ZAZ
Graz,Graz Airport,GRZ
Klagenfurt,Klagenfurt Airport,KLU
Innsbruck,Innsbruck Airport,INN
Linz,Linz Airport,LNZ
Salzburg,Salzburg Airport,SZG
Vienna,Vienna International Airport,VIE
Brno,Brno-Tuřany Airport,BRQ
Karlovy Vary,Karlovy Vary Airport,KLV
Ostrava,Leoš Janáček Ostrava Airport,OSR
Prague,Prague Václav Havel Airport,PRG
Pardubice,Pardubice Airport,PED
Baden-Baden/Karlsruhe,Karlsruhe/Baden-Baden Airport,FKB
Berlin,Berlin Tegel Airport,TXL
Berlin,Berlin Schönefeld Airport,SXF
Bremen,Bremen Airport,BRE
Cologne/Bonn,Cologne/Bonn Airport,CGN
Dortmund,Dortmund Airport,DTM
Düsseldorf,Düsseldorf Airport,DUS
Frankfurt,Frankfurt Airport,FRA
Frankfurt,Frankfurt-Hahn Airport,HHN
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,MLH/BSL/EAP
Friedrichshafen,Friedrichshafen Airport,FDH
Hamburg,Hamburg Airport,HAM
Hanover,Langenhagen Airport,HAJ
Leipzig,Leipzig/Halle Airport,LEJ
Lübeck,Lübeck Airport,LBC
Memmingen,Memmingen Airport,FMM
Munich,Munich Airport,MUC
Nuremberg,Albrecht Dürer Airport,NUE
Stuttgart,Stuttgart Airport,STR
Weeze,Weeze Airport,NRN
Budapest,Budapest Ferenc Liszt International Airport,BUD
Debrecen,Debrecen International Airport,DEB
Hévíz,Hévíz-Balaton Airport,SOB
Győr,Győr-Pér International Airport,QGY
Pécs,Pécs-Pogány International Airport,QPJ
Bratislava,M. R. Štefánik Airport,BTS
Košice,Košice International Airport,KSC
Piešťany,Piešťany Airport,PZY
Poprad,Poprad-Tatry Airport,TAT
Sliač,Sliač Airport,SLD
Žilina,Žilina Airport,ILZ
Basel,EuroAirport Basel–Mulhouse–Freiburg,BSL
Bern,Bern-Belp Airport,BRN
Geneva,Geneva International Airport,GVA
St. Gallen,St. Gallen-Altenrhein Airport,ACH
Zurich,Zurich Airport,ZRH
Bydgoszcz,Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Gdańsk,Gdańsk Lech Wałęsa Airport,GDN
Katowice,Katowice International Airport,KTW
Kraków,John Paul II International Airport Kraków-Balice,KRK
Lublin,Lublin Airport,LUZ
Łódź,Łódź Władysław Reymont Airport,LCJ
Poznań,Poznań Ławica Airport,POZ
Rzeszów,Rzeszów-Jasionka Airport,RZE
Szczecin,"Szczecin-Goleniów ""Solidarność"" Airport",SZZ
Warsaw,Frédéric Chopin Airport,WAW
Warsaw,Modlin Airport,WMI
Wrocław,Copernicus Airport Wrocław,WRO
Dubrovnik,Dubrovnik Airport,DBV
Zagreb,Franjo Tuđman Airport,ZAG
Osijek,Osijek Airport,OSI
Pula,Pula Airport,PUY
Rijeka,Rijeka Airport,RJK
Split,Split Airport,SPU
Zadar,Zadar Airport,ZAD
Larnaca,Larnaca International Airport,LCA
Paphos,Paphos International Airport,PFO
North Nicosia,Ercan International Airport,ECN
Athens,Athens International Airport,ATH
Chania,Chania International Airport,CHQ
Chios Island,Chios Island National Airport,JKH
Corfu,Ioannis Kapodistrias Airport,CFU
Heraklion,Heraklion International Airport,HER
Kalamata,Kalamata International Airport,KLX
Karpathos Island,Karpathos Island National Airport,AOK
Kavala,Kavala International Airport,KVA
Kefalonia Island,Kefalonia Island International Airport,EFL
Kos Island,Kos Island International Airport,KGS
Mykonos Island,Mykonos Island National Airport,JMK
Mytilene,Mytilene International Airport,MJT
Preveza,Aktion National Airport,PVK
Rhodes,Rhodes International Airport,RHO
Samos,Samos International Airport,SMI
Santorini,Santorini (Thira) National Airport,JTR
Skiathos Island,Skiathos Island National Airport,JSI
Skyros Island,Skyros Island National Airport,SKU
Thessaloniki,Thessaloniki International Airport,SKG
Volos,Nea Anchialos National Airport,VOL
Zakynthos,Zakynthos International Airport,ZTH
Alghero,Fertilia Airport,AHO
Ancona,Ancona Airport,AOI
Bari,Palese Airport,BRI
Bergamo,Orio al Serio Airport,BGY
Bologna,Bologna Airport,BLQ
Brescia,Brescia Airport,VBS
Brindisi,Brindisi Airport,BDS
Cagliari,Cagliari Airport,CAG
Catania,Fontanarossa Airport,CTA
Cuneo,Cuneo Levaldigi Airport,CUF
Florence,Peretola Airport,FLR
Genoa,Cristoforo Colombo Airport,GOA
Lamezia,Lamezia Terme Airport,SUF
Milan,Linate Airport,LIN
Milan,Malpensa Airport,MXP
Naples,Capodichino Airport,NAP
Olbia,Costa Smeralda Airport,OLB
Palermo,Palermo Airport,PMO
Parma,Giuseppe Verdi Airport,PMF
Perugia,San Egidio Airport,PEG
Pescara,Abruzzo Airport,PSR
Pisa,Galileo Galilei Airport,PSA
Rimini,Federico Fellini Airport,RMI
Rome,Leonardo da Vinci-Fiumicino Airport,FCO
Rome,Rome Ciampino Airport,CIA
Trapani,Vincenzo Florio Airport,TPS
Trieste,Friuli Venezia Giulia Airport,TRS
Turin,Caselle Airport,TRN
Venice,Venice Marco Polo Airport,VCE
Verona,Verona Airport,VRN
Ljubljana,Ljubljana Jože Pučnik Airport,LJU
Maribor,Maribor Edvard Rusjan Airport,MBX
Portorož,Portorož Airport,POW
Tirana,Tirana International Airport Nënë Tereza,TIA
Yerevan,Zvartnots International Airport,EVN
Gyumri,Shirak Airport,LWN
Baku,Heydar Aliyev International Airport,GYD
Ganja,Ganja International Airport,KVD
Nakhchivan,Nakhchivan Airport,NAJ
Qabala,Qabala International Airport,GBB
Lankaran,Lankaran International Airport,LLK
Grodno,Hrodna Airport,GNA
Gomel,Gomel Airport,GME
Minsk,Minsk International Airport,MSQ
Banja Luka,Banja Luka International Airport,BNX
Sarajevo,Sarajevo International Airport,SJJ
Tuzla,Tuzla International Airport,TZL
Mostar,Mostar International Airport,OMO
Burgas,Burgas Airport,BOJ
Plovdiv,Plovdiv Airport,PDV
Sofia,Sofia Airport,SOF
Varna,Varna Airport,VAR
Tallinn,Lennart Meri Tallinn Airport,TLL
Tartu,Tartu Airport,TAY
Ambrolauri,Ambrolauri Airport,UGAM
Batumi,Batumi International Airport,BUS
Kutaisi,Kutaisi International Airport,KUT
Mestia,Queen Tamar Airport,UGMS
Natakhtari,Natakhtari Airfield,UGSA
Sokhumi,Sukhumi Babushara Airport,SUI
Tbilisi,Tbilisi International Airport,TBS
Pristina,Pristina International Airport,PRN
Riga,Riga International Airport,RIX
Ventspils,Ventspils International Airport,VNT
Kaunas,Kaunas Airport,KUN
Palanga,Palanga International Airport,PLQ
Šiauliai,Šiauliai International Airport,SQQ
Vilnius,Vilnius International Airport,VNO
Valletta,Malta International Airport,MLA
Chişinău,Chişinău International Airport,KIV
Bacau,George Enescu International Airport,BCM
Bucharest,Henri Coanda International Airport,OTP
Cluj-Napoca,Cluj-Napoca International Airport,CLJ
Constanța,Mihail Kogălniceanu International Airport,CND
Craiova,Craiova International Airport,CRA
Iași,Iași International Airport,IAS
Oradea,Oradea International Airport,OMR
Sibiu,Sibiu International Airport,SBZ
Timișoara,Traian Vuia International Airport,TSR
Podgorica,Podgorica Airport,TGD
Tivat,Tivat Airport,TIV
Ohrid,Ohrid St. Paul the Apostle Airport,OHD
Skopje,Skopje Alexander the Great Airport,SKP
Abakan,Abakan International Airport,ABA
Anadyr,Ugolny Airport,DYR
Anapa,Anapa Airport,AAQ
Arkhangelsk,Talagi Airport,ARH
Astrakhan,Narimanovo Airport,ASF
Barnaul,Barnaul Airport,BAX
Belgorod,Belgorod International Airport,EGO
Blagoveshchensk,Ignatyevo Airport,BQS
Bratsk,Bratsk Airport,BTK
Bryansk,Bryansk International Airport,BZK
Cheboksary,Cheboksary Airport,CSY
Chelyabinsk,Chelyabinsk Airport,CEK
Cherepovets,Cherepovets Airport,CEE
Chita,Kadala Airport,HTA
Elista,Elista Airport,ESL
Irkutsk,Irkutsk Airport,IKT
Grozny,Grozny Airport,GRV
Kaliningrad,Khrabrovo Airport,KGD
Kazan,Kazan Airport,KZN
Khabarovsk,Khabarovsk Novy Airport,KHV
Komsomolsk-on-Amur,Komsomolsk-on-Amur Airport,KXK
Krasnodar,Pashkovsky Airport,KRR
Krasnoyarsk,Yemelyanovo International Airport,KJA
Kursk,Kursk Vostochny Airport,URS
Magadan,Sokol Airport,GDX
Magnitogorsk,Magnitogorsk International Airport,MQF
Makhachkala,Uytash Airport,MCX
Mineralnye Vody,Mineralnye Vody Airport,MRV
Moscow,Domodedovo International Airport,DME
Moscow,Sheremetyevo International Airport,SVO
Moscow,Vnukovo Airport,VKO
Murmansk,Murmansk Airport,MMK
Nalchik,Nalchik Airport,NAL
Nizhnevartovsk,Nizhnevartovsk Airport,NJC
Nizhnekamsk,Begishevo Airport,NBC
Nizhny Novgorod,Strigino Airport,GOJ
Novokuznetsk,Spichenkovo Airport,NOZ
Novosibirsk,Tolmachevo Airport,OVB
Omsk,Omsk Tsentralny Airport,OMS
Orenburg,Orenburg Tsentralny Airport,REN
Orsk,Orsk Airport,OSW
Perm,Perm International Airport,PEE
Petrozavodsk,Petrozavodsk Airport,PES
Provideniya,Provideniya Bay Airport,PVS
Petropavlovsk-Kamchatsky,Yelizovo Airport,PKC
Pskov,Pskov Airport,PKV
Rostov-on-Don,Platov International Airport,ROV
Saint Petersburg,Pulkovo Airport,LED
Samara,Samara Kurumoch Airport,KUF
Saratov,Saratov Tsentralny Airport,RTW
Sochi,Sochi International Airport,AER
Stavropol,Stavropol Shpakovskoye Airport,STW
Surgut,Surgut International Airport,SGC
Syktyvkar,Syktyvkar Airport,SCW
Tomsk,Bogashevo Airport,TOF
Tyumen,Roshchino International Airport,TJM
Ulan-Ude,Baikal International Airport,UUD
Ulyanovsk,Ulyanovsk Baratayevka Airport,ULV
Ufa,Ufa International Airport,UFA
Vladivostok,Vladivostok International Airport,VVO
Vladikavkaz,Beslan Airport,OGZ
Volgograd,Volgograd International Airport,VOG
Voronezh,Voronezh International Airport,VOZ
Yakutsk,Yakutsk Airport,YKS
Yaroslavl,Tunoshna Airport,IAR
Yekaterinburg,Koltsovo International Airport,SVX
Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk Airport,UUS
Belgrade,Belgrade Nikola Tesla Airport,BEG
Niš,Niš Constantine the Great Airport,INI
Kraljevo,Morava Airport,KVO
Adana,Şakirpaşa Airport,ADA
Ankara,Esenboğa International Airport,ESB
Antalya,Antalya Airport,AYT
Bodrum,Milas-Bodrum Airport,BJV
Bursa,Yenişehir Airport,YEI
Dalaman,Dalaman Airport,DLM
Gaziantep,Oğuzeli Airport,GZT
Istanbul,Istanbul Airport,IST
Istanbul,Sabiha Gökçen International Airport,SAW
İzmir,Adnan Menderes Airport,ADB
Kayseri,Erkilet Airport,ASR
Konya,Konya Airport,KYA
Kütahya,Zafer Airport,KZR
Malatya,Erhaç Airport,MLX
Nevşehir,Kapadokya Airport,NAV
Samsun,Samsun-Çarşamba Airport,SZF
Trabzon,Trabzon Airport,TZX
Zonguldak,Zonguldak Airport,ONQ
Kiev,Boryspil International Airport,KBP
Chernivtsi,Chernivtsi International Airport,CWC
Dnipro,Dnipropetrovsk International Airport,DNK
Ivano-Frankivsk,Ivano-Frankivsk International Airport,IFO
Kharkiv,Kharkiv International Airport,HRK
Kryvyi Rih,Kryvyi Rih International Airport,KWG
Kiev,Kyiv Zhuliany International Airport,IEV
Lviv,Lviv Danylo Halytskyi International Airport,LWO
Mykolaiv,Mykolaiv International Airport,NLV
Odessa,Odessa International Airport,ODS
Poltava,Poltava Airport,PLV
Simferopol,Simferopol International Airport,SIP
Uzhhorod,Uzhhorod International Airport,UDJ
Zaporizhia,Zaporizhia International Airport,OZH
Aalborg,Aalborg Airport,AAL
Aarhus,Aarhus Airport,AAR
Billund,Billund Airport,BLL
Copenhagen,Copenhagen Airport,CPH
Vágar,Vágar Airport,FAE
Åland,Mariehamn Airport,MHQ
Helsinki,Helsinki-Vantaa Airport,HEL
Kittilä,Kittilä Airport,KTT
Kuopio,Kuopio Airport,KUO
Kuusamo,Kuusamo Airport,KAO
Lappeenranta,Lappeenranta Airport,LPP
Oulu,Oulu Airport,OUL
Rovaniemi,Rovaniemi Airport,RVN
Tampere,Tampere-Pirkkala Airport,TMP
Turku,Turku Airport,TKU
Vaasa,Vaasa Airport,VAA
Akureyri,Akureyri Airport,AEY
Reykjavik,Keflavik International Airport,KEF
Reykjavik,Reykjavik Airport,RKV
Ålesund,Ålesund Airport,AES
Bergen,Bergen Airport,BGO
Bodø,Bodø Airport,BOO
Haugesund,Haugesund Airport,HAU
Kristiansand,"Kristiansand Airport, Kjevik",KRS
Kristiansand,"Kristiansund Airport, Kvernberget",KSU
Oslo,Oslo Airport-Gardermoen,OSL
Oslo,Sandefjord Airport,TRF
Stavanger,Stavanger Airport,SVG
Tromsø,Tromsø Airport,TOS
Trondheim,Trondheim Airport,TRD
Gothenburg,Göteborg Landvetter Airport,GOT
Luleå,Luleå Airport,LLA
Malmö,Malmö Airport,MMX
Norrköping,Norrköping Airport,NRK
Östersund,Åre Östersund Airport,OSD
Stockholm,Stockholm-Arlanda Airport,ARN
Stockholm,Stockholm-Bromma Airport,BMA
Stockholm,Stockholm-Skavsta Airport,NYO
Stockholm,Stockholm-Västerås Airport,VST
Umeå,Umeå Airport,UME
Växjö,Växjö Airport,VXO
Visby,Visby Airport,VBY
Birmingham,Birmingham International Airport,BHX
Bournemouth,Bournemouth Airport,BOH
Bristol,Bristol Airport,BRS
Cardiff,Cardiff Airport,CWL
Doncaster/Sheffield,Robin Hood Airport Doncaster Sheffield,DSA
Middlesbrough,Durham Tees Valley Airport,MME
Nottingham/Leicester,East Midlands Airport,EMA
Exeter,Exeter International Airport,EXT
Leeds/Bradford,Leeds Bradford International Airport,LBA
Liverpool,Liverpool John Lennon Airport,LPL
London,London City Airport,LCY
Gatwick Airport,LGW,Large
Heathrow Airport,LHR,Large
Luton Airport,LTN,Medium
Southend Airport,SEN,Small
Stansted Airport,STN,Large
Manchester,Manchester Airport,MAN
Newcastle upon Tyne,Newcastle Airport,NCL
Newquay,Newquay Cornwall Airport,NQY
Norwich,Norwich International Airport,NWI
Southampton,Southampton Airport,SOU
Aberdeen,Aberdeen Airport,ABZ
Edinburgh,Edinburgh Airport,EDI
Glasgow,Glasgow International Airport,GLA
Glasgow Prestwick Airport,PIK,Small
Inverness,Inverness Airport,INV
Belfast,Belfast International Airport,BFS
George Best Belfast City Airport,BHD,Small
Derry,City of Derry Airport,LDY
Pago Pago,Pago Pago International Airport,PPG
Adelaide,Adelaide Airport,ADL
Brisbane,Brisbane Airport,BNE
Cairns,Cairns Airport,CNS
Canberra,Canberra Airport,CBR
Darwin,Darwin International Airport,DRW
Gold Coast,Gold Coast Airport,OOL
Hobart,Hobart International Airport,HBA
Melbourne,Melbourne Airport,MEL
Avalon Airport,AVV,
Perth,Perth Airport,PER
Port Hedland,Port Hedland International Airport,PHE
Sydney,Sydney Airport,SYD
Townsville,Townsville International Airport,TSV
Christmas Island,Christmas Island Airport,XCH
Cocos (Keeling) Islands,Cocos (Keeling) Islands Airport,CCK
Rarotonga,Rarotonga Airport,RAR
Hanga Roa,Mataveri International Airport,IPC
